t_5min,n,dev1intsolirr_avg
2012-01-04 14:20:00-10,29,290.137931034483
2012-01-04 14:25:00-10,28,263.321428571429
2012-01-04 14:30:00-10,29,267.896551724138
2012-01-04 14:35:00-10,28,195.035714285714
2012-01-04 14:40:00-10,29,199.758620689655
2012-01-04 14:45:00-10,28,292.392857142857
2012-01-04 14:50:00-10,29,314.48275862069
2012-01-04 14:55:00-10,28,399.857142857143
2012-01-04 15:00:00-10,29,318.827586206897
2012-01-04 15:05:00-10,28,265.642857142857
2012-01-04 15:10:00-10,29,193.896551724138
2012-01-04 15:15:00-10,28,178.392857142857
2012-01-04 15:20:00-10,29,156.551724137931
2012-01-04 15:25:00-10,28,129.75
2012-01-04 15:30:00-10,28,110
2012-01-04 15:35:00-10,29,99.4137931034483
2012-01-04 15:40:00-10,28,92.2857142857143
2012-01-04 15:45:00-10,29,88.6551724137931
2012-01-04 15:50:00-10,28,85.3571428571429
2012-01-04 15:55:00-10,29,76.0344827586207
2012-01-04 16:00:00-10,28,79.1428571428571
2012-01-04 16:05:00-10,28,105.857142857143
2012-01-04 16:10:00-10,29,100.241379310345
2012-01-04 16:15:00-10,28,78.7142857142857
2012-01-04 16:20:00-10,29,64.0689655172414
2012-01-04 16:25:00-10,28,57.1071428571429
2012-01-04 16:30:00-10,29,48.2068965517241
2012-01-04 16:35:00-10,28,32.8571428571429
2012-01-04 16:40:00-10,29,22.2758620689655
2012-01-04 16:45:00-10,28,14.6428571428571
2012-01-04 16:50:00-10,28,9.67857142857143
2012-01-04 16:55:00-10,29,5.6551724137931
2012-01-04 17:00:00-10,28,3.39285714285714
2012-01-04 17:05:00-10,28,2
2012-01-04 17:10:00-10,29,1
2012-01-04 17:15:00-10,28,0.821428571428571
2012-01-04 17:20:00-10,28,0.892857142857143
2012-01-04 17:25:00-10,29,0.655172413793103
2012-01-04 17:30:00-10,28,0.892857142857143
2012-01-04 17:35:00-10,28,0.75
2012-01-04 17:40:00-10,29,0.827586206896552
2012-01-04 17:45:00-10,28,0.821428571428571
2012-01-04 17:50:00-10,28,0.964285714285714
2012-01-04 17:55:00-10,28,1
2012-01-04 18:00:00-10,12,0.333333333333333
2012-01-05 06:00:00-10,18,4.66666666666667
2012-01-05 06:05:00-10,28,7.42857142857143
2012-01-05 06:10:00-10,29,10.9655172413793
2012-01-05 06:15:00-10,29,15.6206896551724
2012-01-05 06:20:00-10,28,20.2142857142857
2012-01-05 06:25:00-10,28,24.7857142857143
2012-01-05 06:30:00-10,29,44.5172413793103
2012-01-05 06:35:00-10,28,65.4285714285714
2012-01-05 06:40:00-10,29,89.8965517241379
2012-01-05 06:45:00-10,29,109.551724137931
2012-01-05 06:50:00-10,28,133.571428571429
2012-01-05 06:55:00-10,29,147.344827586207
2012-01-05 07:00:00-10,28,174.214285714286
2012-01-05 07:05:00-10,29,192.103448275862
2012-01-05 07:10:00-10,28,179.571428571429
2012-01-05 07:15:00-10,29,197.793103448276
2012-01-05 07:20:00-10,28,272.785714285714
2012-01-05 07:25:00-10,29,294.793103448276
2012-01-05 07:30:00-10,29,317.793103448276
2012-01-05 07:35:00-10,28,340.607142857143
2012-01-05 07:40:00-10,29,365.034482758621
2012-01-05 07:45:00-10,28,386.464285714286
2012-01-05 07:50:00-10,29,409.965517241379
2012-01-05 07:55:00-10,29,430.793103448276
2012-01-05 08:00:00-10,28,452.678571428571
2012-01-05 08:05:00-10,29,475.655172413793
2012-01-05 08:10:00-10,29,492.275862068966
2012-01-05 08:15:00-10,28,512.642857142857
2012-01-05 08:20:00-10,29,527.965517241379
2012-01-05 08:25:00-10,28,549.75
2012-01-05 08:30:00-10,29,568.103448275862
2012-01-05 08:35:00-10,28,588.607142857143
2012-01-05 08:40:00-10,29,614.51724137931
2012-01-05 08:45:00-10,29,630.034482758621
2012-01-05 08:50:00-10,28,662.642857142857
2012-01-05 08:55:00-10,29,671.965517241379
2012-01-05 09:00:00-10,28,667.142857142857
2012-01-05 09:05:00-10,29,701
2012-01-05 09:10:00-10,28,754.857142857143
2012-01-05 09:15:00-10,29,764.758620689655
2012-01-05 09:20:00-10,28,770.178571428571
2012-01-05 09:25:00-10,29,786.310344827586
2012-01-05 09:30:00-10,28,786.357142857143
2012-01-05 09:35:00-10,29,818.310344827586
2012-01-05 09:40:00-10,28,813.785714285714
2012-01-05 09:45:00-10,29,860.51724137931
2012-01-05 09:50:00-10,28,815.464285714286
2012-01-05 09:55:00-10,28,869
2012-01-05 10:00:00-10,29,839.51724137931
2012-01-05 10:05:00-10,29,880.758620689655
2012-01-05 10:10:00-10,29,898.51724137931
2012-01-05 10:15:00-10,28,857.321428571429
2012-01-05 10:20:00-10,29,756.310344827586
2012-01-05 10:25:00-10,28,896.285714285714
2012-01-05 10:30:00-10,29,900.689655172414
2012-01-05 10:35:00-10,29,887.689655172414
2012-01-05 10:40:00-10,28,980.5
2012-01-05 10:45:00-10,28,722.107142857143
2012-01-05 10:50:00-10,29,555.068965517241
2012-01-05 10:55:00-10,29,670.896551724138
2012-01-05 11:00:00-10,28,820.857142857143
2012-01-05 11:05:00-10,29,886.137931034483
2012-01-05 11:10:00-10,29,895.51724137931
2012-01-05 11:15:00-10,28,931.892857142857
2012-01-05 11:20:00-10,29,911.896551724138
2012-01-05 11:25:00-10,28,907.392857142857
2012-01-05 11:30:00-10,29,899.620689655172
2012-01-05 11:35:00-10,29,899.206896551724
2012-01-05 11:40:00-10,28,899.428571428571
2012-01-05 11:45:00-10,29,897.655172413793
2012-01-05 11:50:00-10,28,897.428571428571
2012-01-05 11:55:00-10,29,901.620689655172
2012-01-05 12:00:00-10,28,895.107142857143
2012-01-05 12:05:00-10,29,893.275862068965
2012-01-05 12:10:00-10,29,886.655172413793
2012-01-05 12:15:00-10,28,880.785714285714
2012-01-05 12:20:00-10,29,872.344827586207
2012-01-05 12:25:00-10,28,863.678571428571
2012-01-05 12:30:00-10,29,858.689655172414
2012-01-05 12:35:00-10,28,850.678571428571
2012-01-05 12:40:00-10,29,845.310344827586
2012-01-05 12:45:00-10,28,837.607142857143
2012-01-05 12:50:00-10,29,825.206896551724
2012-01-05 12:55:00-10,29,816.931034482759
2012-01-05 13:00:00-10,28,810.142857142857
2012-01-05 13:05:00-10,29,800.103448275862
2012-01-05 13:10:00-10,28,791.571428571429
2012-01-05 13:15:00-10,29,778.344827586207
2012-01-05 13:20:00-10,28,765.571428571429
2012-01-05 13:25:00-10,29,754.172413793103
2012-01-05 13:30:00-10,28,745.392857142857
2012-01-05 13:35:00-10,29,733.724137931035
2012-01-05 13:40:00-10,29,720.103448275862
2012-01-05 13:45:00-10,28,708.535714285714
2012-01-05 13:50:00-10,29,697
2012-01-05 13:55:00-10,28,682.392857142857
2012-01-05 14:00:00-10,29,676.51724137931
2012-01-05 14:05:00-10,28,679.785714285714
2012-01-05 14:10:00-10,29,664.034482758621
2012-01-05 14:15:00-10,29,640.206896551724
2012-01-05 14:20:00-10,28,634.857142857143
2012-01-05 14:25:00-10,29,631.655172413793
2012-01-05 14:30:00-10,28,612.857142857143
2012-01-05 14:35:00-10,29,595.206896551724
2012-01-05 14:40:00-10,29,387.931034482759
2012-01-05 14:45:00-10,29,492.965517241379
2012-01-05 14:50:00-10,28,467.5
2012-01-05 14:55:00-10,29,405.655172413793
2012-01-05 15:00:00-10,29,450.48275862069
2012-01-05 15:05:00-10,28,372.035714285714
2012-01-05 15:10:00-10,28,338.142857142857
2012-01-05 15:15:00-10,29,283.241379310345
2012-01-05 15:20:00-10,28,357.321428571429
2012-01-05 15:25:00-10,29,341
2012-01-05 15:30:00-10,28,286.035714285714
2012-01-05 15:35:00-10,29,301.413793103448
2012-01-05 15:40:00-10,29,265.586206896552
2012-01-05 15:45:00-10,28,203.321428571429
2012-01-05 15:50:00-10,29,221.137931034483
2012-01-05 15:55:00-10,28,172.214285714286
2012-01-05 16:00:00-10,29,173.448275862069
2012-01-05 16:05:00-10,29,150.965517241379
2012-01-05 16:10:00-10,28,130.035714285714
2012-01-05 16:15:00-10,29,111.448275862069
2012-01-05 16:20:00-10,28,92.0357142857143
2012-01-05 16:25:00-10,29,73.8275862068966
2012-01-05 16:30:00-10,28,58.0714285714286
2012-01-05 16:35:00-10,29,37.9655172413793
2012-01-05 16:40:00-10,28,23.1785714285714
2012-01-05 16:45:00-10,29,18.3793103448276
2012-01-05 16:50:00-10,28,12.9642857142857
2012-01-05 16:55:00-10,29,7.55172413793103
2012-01-05 17:00:00-10,28,4.35714285714286
2012-01-05 17:05:00-10,29,2.13793103448276
2012-01-05 17:10:00-10,29,0.931034482758621
2012-01-05 17:15:00-10,28,0.214285714285714
2012-01-05 17:20:00-10,29,0
2012-01-05 17:25:00-10,28,0
2012-01-05 17:30:00-10,29,0
2012-01-05 17:35:00-10,28,0
2012-01-05 17:40:00-10,29,0
2012-01-05 17:45:00-10,28,0
2012-01-05 17:50:00-10,28,0
2012-01-05 17:55:00-10,29,0
2012-01-05 18:00:00-10,11,0
2012-01-06 06:00:00-10,17,4.58823529411765
2012-01-06 06:05:00-10,28,7.28571428571429
2012-01-06 06:10:00-10,28,12.6785714285714
2012-01-06 06:15:00-10,29,17.5862068965517
2012-01-06 06:20:00-10,28,22.5357142857143
2012-01-06 06:25:00-10,29,27.6551724137931
2012-01-06 06:30:00-10,29,44.1724137931034
2012-01-06 06:35:00-10,28,66.4285714285714
2012-01-06 06:40:00-10,28,95.8928571428571
2012-01-06 06:45:00-10,29,116.137931034483
2012-01-06 06:50:00-10,28,141.5
2012-01-06 06:55:00-10,29,161.275862068966
2012-01-06 07:00:00-10,29,178.413793103448
2012-01-06 07:05:00-10,28,197.178571428571
2012-01-06 07:10:00-10,29,218.689655172414
2012-01-06 07:15:00-10,28,243.607142857143
2012-01-06 07:20:00-10,28,267.428571428571
2012-01-06 07:25:00-10,29,294.068965517241
2012-01-06 07:30:00-10,29,315.758620689655
2012-01-06 07:35:00-10,28,335.214285714286
2012-01-06 07:40:00-10,29,357.206896551724
2012-01-06 07:45:00-10,28,379.642857142857
2012-01-06 07:50:00-10,29,402.896551724138
2012-01-06 07:55:00-10,28,426.607142857143
2012-01-06 08:00:00-10,29,447.724137931034
2012-01-06 08:05:00-10,29,468.068965517241
2012-01-06 08:10:00-10,28,489.785714285714
2012-01-06 08:15:00-10,29,515.379310344828
2012-01-06 08:20:00-10,29,534.137931034483
2012-01-06 08:25:00-10,28,557.071428571429
2012-01-06 08:30:00-10,29,566.793103448276
2012-01-06 08:35:00-10,28,599.714285714286
2012-01-06 08:40:00-10,29,628.793103448276
2012-01-06 08:45:00-10,28,641.535714285714
2012-01-06 08:50:00-10,29,645.413793103448
2012-01-06 08:55:00-10,28,550.178571428571
2012-01-06 09:00:00-10,29,473.758620689655
2012-01-06 09:05:00-10,28,568.821428571429
2012-01-06 09:10:00-10,29,520.379310344828
2012-01-06 09:15:00-10,28,518.107142857143
2012-01-06 09:20:00-10,29,440.827586206897
2012-01-06 09:25:00-10,28,537.285714285714
2012-01-06 09:30:00-10,28,422.071428571429
2012-01-06 09:35:00-10,29,653.758620689655
2012-01-06 09:40:00-10,28,750.25
2012-01-06 09:45:00-10,29,824.620689655172
2012-01-06 09:50:00-10,28,510.285714285714
2012-01-06 09:55:00-10,29,464.413793103448
2012-01-06 10:00:00-10,28,338.821428571429
2012-01-06 10:05:00-10,29,317.862068965517
2012-01-06 10:10:00-10,28,426.464285714286
2012-01-06 10:15:00-10,29,585.620689655172
2012-01-06 10:20:00-10,29,430.758620689655
2012-01-06 10:25:00-10,28,403.428571428571
2012-01-06 10:30:00-10,28,511.071428571429
2012-01-06 10:35:00-10,29,459.310344827586
2012-01-06 10:40:00-10,28,448.035714285714
2012-01-06 10:45:00-10,29,484.448275862069
2012-01-06 10:50:00-10,28,335.678571428571
2012-01-06 10:55:00-10,29,377.068965517241
2012-01-06 11:00:00-10,28,444.714285714286
2012-01-06 11:05:00-10,28,694.357142857143
2012-01-06 11:10:00-10,29,459.724137931034
2012-01-06 11:15:00-10,28,507.535714285714
2012-01-06 11:20:00-10,29,622.758620689655
2012-01-06 11:25:00-10,29,368.206896551724
2012-01-06 11:30:00-10,28,539.214285714286
2012-01-06 11:35:00-10,29,942.137931034483
2012-01-06 11:40:00-10,28,1067
2012-01-06 11:45:00-10,29,668.034482758621
2012-01-06 11:50:00-10,28,281.821428571429
2012-01-06 11:55:00-10,29,244.758620689655
2012-01-06 12:00:00-10,28,459.857142857143
2012-01-06 12:05:00-10,29,313.413793103448
2012-01-06 12:10:00-10,28,347.821428571429
2012-01-06 12:15:00-10,29,735.137931034483
2012-01-06 12:20:00-10,29,504
2012-01-06 12:25:00-10,28,664.107142857143
2012-01-06 12:30:00-10,29,520.344827586207
2012-01-06 12:35:00-10,28,660.5
2012-01-06 12:40:00-10,29,599.896551724138
2012-01-06 12:45:00-10,28,765.964285714286
2012-01-06 12:50:00-10,29,762.965517241379
2012-01-06 12:55:00-10,28,548.392857142857
2012-01-06 13:00:00-10,29,852.724137931035
2012-01-06 13:05:00-10,28,931.464285714286
2012-01-06 13:10:00-10,28,669.178571428571
2012-01-06 13:15:00-10,29,753.448275862069
2012-01-06 13:20:00-10,29,854.068965517241
2012-01-06 13:25:00-10,28,754.821428571429
2012-01-06 13:30:00-10,29,842.172413793103
2012-01-06 13:35:00-10,28,744.678571428571
2012-01-06 13:40:00-10,29,754.379310344828
2012-01-06 13:45:00-10,28,709.071428571429
2012-01-06 13:50:00-10,29,645.896551724138
2012-01-06 13:55:00-10,28,657.285714285714
2012-01-06 14:00:00-10,29,641.724137931035
2012-01-06 14:05:00-10,29,686.931034482759
2012-01-06 14:10:00-10,28,641.857142857143
2012-01-06 14:15:00-10,29,637.034482758621
2012-01-06 14:20:00-10,28,618.464285714286
2012-01-06 14:25:00-10,29,597.931034482759
2012-01-06 14:30:00-10,28,433.214285714286
2012-01-06 14:35:00-10,28,471.464285714286
2012-01-06 14:40:00-10,29,467.137931034483
2012-01-06 14:45:00-10,29,377.413793103448
2012-01-06 14:50:00-10,28,474.607142857143
2012-01-06 14:55:00-10,29,470.758620689655
2012-01-06 15:00:00-10,28,446.035714285714
2012-01-06 15:05:00-10,29,419.310344827586
2012-01-06 15:10:00-10,28,401.892857142857
2012-01-06 15:15:00-10,29,384.620689655172
2012-01-06 15:20:00-10,28,362.321428571429
2012-01-06 15:25:00-10,28,337.642857142857
2012-01-06 15:30:00-10,29,313.344827586207
2012-01-06 15:35:00-10,28,289.464285714286
2012-01-06 15:40:00-10,29,267.655172413793
2012-01-06 15:45:00-10,29,243.413793103448
2012-01-06 15:50:00-10,28,222.214285714286
2012-01-06 15:55:00-10,29,197.48275862069
2012-01-06 16:00:00-10,28,174.535714285714
2012-01-06 16:05:00-10,29,142.551724137931
2012-01-06 16:10:00-10,28,133.642857142857
2012-01-06 16:15:00-10,29,113.51724137931
2012-01-06 16:20:00-10,28,94.3214285714286
2012-01-06 16:25:00-10,29,75.6896551724138
2012-01-06 16:30:00-10,28,59.7857142857143
2012-01-06 16:35:00-10,29,40.0344827586207
2012-01-06 16:40:00-10,28,21.25
2012-01-06 16:45:00-10,29,17.0344827586207
2012-01-06 16:50:00-10,28,12.8571428571429
2012-01-06 16:55:00-10,28,7.78571428571429
2012-01-06 17:00:00-10,29,4.68965517241379
2012-01-06 17:05:00-10,29,2.24137931034483
2012-01-06 17:10:00-10,28,0.714285714285714
2012-01-06 17:15:00-10,28,0
2012-01-06 17:20:00-10,29,0
2012-01-06 17:25:00-10,28,0
2012-01-06 17:30:00-10,28,0
2012-01-06 17:35:00-10,29,0
2012-01-06 17:40:00-10,28,0
2012-01-06 17:45:00-10,29,0
2012-01-06 17:50:00-10,28,0
2012-01-06 17:55:00-10,28,0
2012-01-06 18:00:00-10,11,0
2012-01-07 06:00:00-10,17,4.47058823529412
2012-01-07 06:05:00-10,29,6.58620689655172
2012-01-07 06:10:00-10,28,10.1785714285714
2012-01-07 06:15:00-10,29,16.4137931034483
2012-01-07 06:20:00-10,28,22.1428571428571
2012-01-07 06:25:00-10,29,27.8275862068966
2012-01-07 06:30:00-10,28,47.3571428571429
2012-01-07 06:35:00-10,29,74
2012-01-07 06:40:00-10,28,109.25
2012-01-07 06:45:00-10,28,118.464285714286
2012-01-07 06:50:00-10,29,131.48275862069
2012-01-07 06:55:00-10,29,150.172413793103
2012-01-07 07:00:00-10,29,171.137931034483
2012-01-07 07:05:00-10,28,189.571428571429
2012-01-07 07:10:00-10,28,155.857142857143
2012-01-07 07:15:00-10,29,225.724137931034
2012-01-07 07:20:00-10,29,234.034482758621
2012-01-07 07:25:00-10,28,292.892857142857
2012-01-07 07:30:00-10,29,284.172413793103
2012-01-07 07:35:00-10,28,183.607142857143
2012-01-07 07:40:00-10,28,269.821428571429
2012-01-07 07:45:00-10,29,220.51724137931
2012-01-07 07:50:00-10,28,276.642857142857
2012-01-07 07:55:00-10,29,357.931034482759
2012-01-07 08:00:00-10,29,384.206896551724
2012-01-07 08:05:00-10,28,359.714285714286
2012-01-07 08:10:00-10,28,461.464285714286
2012-01-07 08:15:00-10,29,529.793103448276
2012-01-07 08:20:00-10,29,525.310344827586
2012-01-07 08:25:00-10,28,444.178571428571
2012-01-07 08:30:00-10,29,230.068965517241
2012-01-07 08:35:00-10,28,293.428571428571
2012-01-07 08:40:00-10,29,658.48275862069
2012-01-07 08:45:00-10,28,626.642857142857
2012-01-07 08:50:00-10,29,532.172413793103
2012-01-07 08:55:00-10,28,386
2012-01-07 09:00:00-10,29,235.103448275862
2012-01-07 09:05:00-10,28,437
2012-01-07 09:10:00-10,29,454.137931034483
2012-01-07 09:15:00-10,28,822.571428571429
2012-01-07 09:20:00-10,29,500.689655172414
2012-01-07 09:25:00-10,28,368.357142857143
2012-01-07 09:30:00-10,29,356.827586206897
2012-01-07 09:35:00-10,28,704.357142857143
2012-01-07 09:40:00-10,29,482.689655172414
2012-01-07 09:45:00-10,29,849
2012-01-07 09:50:00-10,28,920.464285714286
2012-01-07 09:55:00-10,29,454.689655172414
2012-01-07 10:00:00-10,28,985.75
2012-01-07 10:05:00-10,29,591
2012-01-07 10:10:00-10,28,445.464285714286
2012-01-07 10:15:00-10,29,785.448275862069
2012-01-07 10:20:00-10,28,318.535714285714
2012-01-07 10:25:00-10,29,978.206896551724
2012-01-07 10:30:00-10,29,469.103448275862
2012-01-07 10:35:00-10,28,435.785714285714
2012-01-07 10:40:00-10,28,414.714285714286
2012-01-07 10:45:00-10,29,405.034482758621
2012-01-07 10:50:00-10,28,383.321428571429
2012-01-07 10:55:00-10,29,695.413793103448
2012-01-07 11:00:00-10,28,660.785714285714
2012-01-07 11:05:00-10,29,926.655172413793
2012-01-07 11:10:00-10,28,850.571428571429
2012-01-07 11:15:00-10,28,721.642857142857
2012-01-07 11:20:00-10,29,250.931034482759
2012-01-07 11:25:00-10,29,202.310344827586
2012-01-07 11:30:00-10,28,253.464285714286
2012-01-07 11:35:00-10,28,319.642857142857
2012-01-07 11:40:00-10,29,793.724137931035
2012-01-07 11:45:00-10,29,655.275862068965
2012-01-07 11:50:00-10,28,265.678571428571
2012-01-07 11:55:00-10,29,301.172413793103
2012-01-07 12:00:00-10,28,428.535714285714
2012-01-07 12:05:00-10,28,1097.42857142857
2012-01-07 12:10:00-10,29,848.896551724138
2012-01-07 12:15:00-10,28,393.821428571429
2012-01-07 12:20:00-10,29,489.655172413793
2012-01-07 12:25:00-10,28,572.821428571429
2012-01-07 12:30:00-10,29,817.965517241379
2012-01-07 12:35:00-10,28,311.892857142857
2012-01-07 12:40:00-10,28,502.25
2012-01-07 12:45:00-10,29,298.206896551724
2012-01-07 12:50:00-10,28,385.071428571429
2012-01-07 12:55:00-10,28,669.5
2012-01-07 13:00:00-10,29,967.724137931035
2012-01-07 13:05:00-10,29,904.655172413793
2012-01-07 13:10:00-10,28,874.571428571429
2012-01-07 13:15:00-10,28,869.607142857143
2012-01-07 13:20:00-10,29,869.931034482759
2012-01-07 13:25:00-10,29,854.172413793103
2012-01-07 13:30:00-10,28,875.142857142857
2012-01-07 13:35:00-10,29,890.896551724138
2012-01-07 13:40:00-10,28,652.071428571429
2012-01-07 13:45:00-10,29,227.862068965517
2012-01-07 13:50:00-10,28,205.321428571429
2012-01-07 13:55:00-10,29,191.310344827586
2012-01-07 14:00:00-10,29,198.586206896552
2012-01-07 14:05:00-10,28,193
2012-01-07 14:10:00-10,28,176.178571428571
2012-01-07 14:15:00-10,29,211.724137931034
2012-01-07 14:20:00-10,28,713.678571428571
2012-01-07 14:25:00-10,29,673.620689655172
2012-01-07 14:30:00-10,29,576.413793103448
2012-01-07 14:35:00-10,28,596.464285714286
2012-01-07 14:40:00-10,22,554.227272727273
2012-01-07 14:45:00-10,29,521.931034482759
2012-01-07 14:50:00-10,29,496.586206896552
2012-01-07 14:55:00-10,28,470.642857142857
2012-01-07 15:00:00-10,29,447.310344827586
2012-01-07 15:05:00-10,28,425.428571428571
2012-01-07 15:10:00-10,29,402.655172413793
2012-01-07 15:15:00-10,28,382.714285714286
2012-01-07 15:20:00-10,28,360.964285714286
2012-01-07 15:25:00-10,29,338.655172413793
2012-01-07 15:30:00-10,28,314.892857142857
2012-01-07 15:35:00-10,29,292.586206896552
2012-01-07 15:40:00-10,29,268.862068965517
2012-01-07 15:45:00-10,28,245.678571428571
2012-01-07 15:50:00-10,29,220.862068965517
2012-01-07 15:55:00-10,28,199.428571428571
2012-01-07 16:00:00-10,29,177.413793103448
2012-01-07 16:05:00-10,29,156.068965517241
2012-01-07 16:10:00-10,28,134.785714285714
2012-01-07 16:15:00-10,29,114.586206896552
2012-01-07 16:20:00-10,29,95.3793103448276
2012-01-07 16:25:00-10,28,78
2012-01-07 16:30:00-10,29,61.4827586206897
2012-01-07 16:35:00-10,28,43.9642857142857
2012-01-07 16:40:00-10,29,22.7586206896552
2012-01-07 16:45:00-10,28,16.9642857142857
2012-01-07 16:50:00-10,29,12.2068965517241
2012-01-07 16:55:00-10,28,8.03571428571429
2012-01-07 17:00:00-10,29,5.10344827586207
2012-01-07 17:05:00-10,28,2.71428571428571
2012-01-07 17:10:00-10,29,1.13793103448276
2012-01-07 17:15:00-10,28,0.428571428571429
2012-01-07 17:20:00-10,29,0
