address,db_time,uptime_ms,bmp085_temp_decic,bmp085_press_pa,batt_mv,panel_mv,apogee_mv,apogee_w_m2,panel_ma
104,2013-07-03 21:51:53.813233-10,932409,286,101120,4076,4301,328,1640,17340
104,2013-07-03 21:52:08.620239-10,947209,286,101120,4086,4330,327,1635,17160
104,2013-07-03 21:52:23.431235-10,962009,286,101117,4110,4281,328,1640,17480
104,2013-07-03 21:52:38.246269-10,976809,286,101099,4081,3998,326,1630,17380
104,2013-07-03 21:52:54.675259-10,991609,287,101106,4056,3372,327,1635,17310
104,2013-07-03 21:54:41.453344-10,1095209,289,101052,4056,1192,327,1635,17860
104,2013-07-03 21:54:51.663336-10,1110009,289,101052,4046,1016,327,1635,17700
104,2013-07-03 21:55:06.366356-10,1124809,289,101053,4110,997,328,1640,17450
104,2013-07-03 21:55:21.170359-10,1139609,289,101058,4110,1436,327,1635,17460
104,2013-07-03 21:55:35.985396-10,1154409,290,101055,4090,1388,328,1640,17980
104,2013-07-03 21:55:50.790376-10,1169209,290,101055,4066,1124,326,1630,19050
104,2013-07-03 21:56:05.610395-10,1184009,290,101059,4086,948,328,1640,19010
104,2013-07-03 21:56:20.414391-10,1198809,290,101061,4090,948,328,1640,18800
104,2013-07-03 21:56:35.230415-10,1213609,290,101064,4066,811,328,1640,18180
104,2013-07-03 21:56:50.03343-10,1228409,291,101058,4046,645,327,1635,17830
104,2013-07-03 21:57:04.849444-10,1243209,291,101064,4086,674,327,1635,19840
104,2013-07-03 21:57:19.658424-10,1258009,291,101045,4105,596,328,1640,19050
104,2013-07-03 21:57:34.469449-10,1272809,291,101044,4105,469,326,1630,18130
104,2013-07-03 21:57:51.513456-10,1287609,292,101046,4086,400,327,1635,17050
104,2013-07-03 21:58:19.8295-10,1317209,292,101100,4095,596,328,1640,18300
104,2013-07-03 21:58:49.672502-10,1346809,293,101106,4095,1495,326,1630,18710
104,2013-07-03 21:59:03.337529-10,1361609,293,101101,4105,1446,328,1640,18560
104,2013-07-03 21:59:18.146505-10,1376409,293,101105,4090,1710,326,1630,16800
